date,amount
0,0
10,0
20,0
30,0
40,0
50,0
60,0
70,0
80,0
90,0
100,0
110,0
120,0
130,0
140,0
150,0
160,0
170,0
180,0
190,0
200,0
210,1.4142135623730951455
220,0
230,0
240,0
250,0
260,0
270,0
280,0
290,0
300,0
310,1
320,0
330,0
340,0
350,0
360,0
370,0
380,0
390,0
400,1.4142135623730951455
410,0
420,0
430,0
440,0
450,0
460,0
470,0
480,0
490,0
500,0
510,1.4142135623730951455
520,0
530,0
540,0
550,0
560,0
570,0
580,0
590,0
600,0
610,1.4142135623730951455
620,0
630,0
640,0
650,0
660,0
670,0
680,0
690,0
700,0
710,0
720,0
730,0
740,0
750,0
760,0
770,0
780,0
790,0
800,1.7320508075688771932
810,1.4142135623730951455
820,1
830,0
840,0
850,0
860,0
870,0
880,0
890,0
900,0
910,0
920,0
930,0
940,0
950,0
960,1
970,0
980,0
990,0
1000,6.1644140029689760141
1010,8.1853527718724503615
1020,10.954451150103322377
1030,12.884098726725126127
1040,13.41640786499873883
1050,13
1060,12.529964086141667678
1070,12.649110640673518091
1080,14.628738838327793204
1090,16.186414056238646708
1100,18.94729532149641571
1110,18.973665961010276249
1120,19.442222095223581135
1130,19.287301521985909858
1140,18.761663039293718924
1150,19.595917942265423051
1160,19.89974874213239886
1170,21.771541057077239856
1180,23.388031127053000802
1190,25.806975801127880032
1200,26.75817632051930417
1210,27.129319932501072543
1220,27
1230,26.589471600616661817
1240,26.795522013948524176
1250,28.19574435974336879
1260,31.080540535840107452
1270,31.874754901018455655
1280,34.176014981270121496
1290,36.290494623248108041
1300,37.802116342871599386
1310,37.907782842049734029
1320,39.166312055132280534
1330,40.062451248020259698
1340,40.11234224026316042
1350,41.036569057366385493
1360,41.291645644125154035
1370,42.825226210727713294
1380,45.276925690687086501
1390,48.528342234203712735
1400,51.224993899462788249
1410,54.881690936048975971
1420,56.956123463592568612
1430,61.114646362390089962
1440,66.693328002132261645
1450,74.598927606233047527
1460,80.043738043647110203
1470,87.097646351666696773
1480,93.230896166453320006
1490,96.855562566122131329
1500,103.6725614615554889
1510,106.22617379911601176
1520,113.026545554573147
1530,121.31364309095658882
1540,130.21136663133520983
1550,139.11146609823362041
1560,148.86235252742716284
1570,160.07810593582121328
1580,171.80221186003399225
1590,182.63351280638502772
1600,189.4439231012702578
1610,194.51478092936793018
1620,199.29375303807191244
1630,202.7560110083052507
1640,208.04326473116114471
1650,219.56320274581531748
1660,228.39001729497724114
1670,235.78379927382627557
1680,244.46063077722760681
1690,254.80777068213598113
1700,268.88101457708017961
1710,278.65031849972825739
1720,285.40322352769601366
1730,290.1913162036383369
1740,297.00505046210912496
1750,304.44047037146685852
1760,308.85919121826373157
1770,314.52821812994778838
1780,315.68338568888924556
1790,316.35739283285289503
1800,324.40715158578115052
1810,338.55723297546012418
1820,352.48404219198351939
1830,366.79558339761945263
1840,392.78874729299462842
1850,422.24755771940232307
1860,450.9512168738432365
1870,471.65029417991462424
1880,498.96693277210266615
1890,521.12378567860434941
1900,545.07614147016192874
1910,552.97829975506272149
1920,556.55278276188687414
1930,556.49977538180553438
1940,541.97416912616790796
1950,512.54365667716535881
1960,489.82343757725601563
1970,481.10705669320628886
1980,407.74256584271404336
1990,293.66307224436644674
2000,228.57602673946365712
2010,107.37318100903968343
